test,channel,sample_rate_hz,n_samples,n_segments,frequency_hz,half_power_bandwidth_hz,zeta_half_power,zeta_bootstrap_mean,zeta_bootstrap_sd,zeta_bootstrap_q025,zeta_bootstrap_q975,bootstrap_valid_reps
test2,1,200.00000000000426,7104,5,4.492187500000096,0.19929540382116961,0.02218244494705145,0.022116311009233388,0.0016610404436558893,0.01999414789185904,0.0245822555277857,200
test2,1,200.00000000000426,7104,5,8.691406250000185,0.21800288821538238,0.012541289749019484,0.01270847412537369,0.0010684124751340496,0.01143032305479904,0.01665598009686665,200
test2,1,200.00000000000426,7104,5,10.74218750000023,0.2200111103009892,0.01024051713400946,0.011135255818133958,0.0021104976032810157,0.009023288492065672,0.016312122443269045,200
test2,1,200.00000000000426,7104,5,14.355468750000306,0.2709402100453264,0.009436829084571713,0.008713314952496463,0.002577509240131195,0.005246478375383703,0.012352839389550771,200
test2,1,200.00000000000426,7104,5,15.136718750000323,0.2705226083624428,0.008935972611714048,0.006902536844660546,0.002038813708928679,0.004147107141676989,0.00987989099280905,200
test2,1,200.00000000000426,7104,5,17.675781250000377,0.2470939697216714,0.006989619474999617,0.010035277760822213,0.005638640809125549,0.004346072282585253,0.023600952981745228,200
test2,1,200.00000000000426,7104,5,17.968750000000384,0.18150105751342238,0.0050504642090690366,0.005648059700393084,0.0013646177224429087,0.00480895706075387,0.00974534265772104,200
test2,2,200.00000000000426,7104,5,2.734375000000058,0.21904989089415183,0.040054837192072625,0.03957497605604666,0.0011789748206906033,0.03673417824927595,0.04130723924759145,200
test2,2,200.00000000000426,7104,5,4.492187500000096,0.19733161039549696,0.0219638662005418,0.022052052604907536,0.002239009411787261,0.019811375484461602,0.02424226872768978,200
test2,2,200.00000000000426,7104,5,8.691406250000185,0.18757149724600275,0.010790629953927119,0.010213062983746427,0.0016186278040110655,0.0070620818867966235,0.011998400086159626,200
test2,2,200.00000000000426,7104,5,10.74218750000023,0.23133035090055465,0.010767376332825587,0.01134190186256153,0.0018511284179572201,0.00960664929726716,0.014472706976695563,200
test2,2,200.00000000000426,7104,5,14.355468750000306,0.21356599328504622,0.007438489017819139,0.015608217422156102,0.019453377381628438,0.006188115450904178,0.07356143401324236,200
test2,2,200.00000000000426,7104,5,15.03906250000032,0.4801756877130643,0.015964282604485954,0.01563394821120156,0.0061808213852850066,0.0086182195206502,0.028142799057651866,200
test2,2,200.00000000000426,7104,5,15.722656250000336,0.3968558718668529,0.012620509714026357,0.018657271435161743,0.00951559183620352,0.004592764575045126,0.03254364199574494,200
test2,2,200.00000000000426,7104,5,17.968750000000384,0.1971055061607636,0.005484674954038523,0.00579668549794266,0.001028561688812728,0.005004162526547998,0.009438294825599469,200
test2,3,200.00000000000426,7104,5,2.734375000000058,0.2171210786134803,0.03970214008932126,0.03967126417726439,0.0012938572630046628,0.0375902968465366,0.0417266202642698,200
test2,3,200.00000000000426,7104,5,4.492187500000096,0.20471691185635432,0.02278588236314156,0.023195221795412887,0.0032196271582802323,0.020160366508569203,0.02613626940613898,200
test2,3,200.00000000000426,7104,5,8.691406250000185,0.20437737745103313,0.011757440141003004,0.011148755430628193,0.001446287552803392,0.008025377099244807,0.012436866506357875,200
test2,3,200.00000000000426,7104,5,10.74218750000023,0.26287449124166073,0.012235612683247948,0.013201650760362638,0.0028831320764077287,0.01078925183772737,0.019137140817512364,200
test2,3,200.00000000000426,7104,5,11.523437500000245,0.15881443342286872,0.006890931348517547,0.006925517101455392,0.00035638997218618684,0.006050459706873875,0.007540143705447133,200
test2,3,200.00000000000426,7104,5,15.136718750000323,0.33104069355417387,0.010935021619337638,0.010338695225701822,0.002383951554317203,0.005546922835540283,0.01793531913663904,200
test2,3,200.00000000000426,7104,5,17.675781250000377,0.27497377940990475,0.007778263815351836,0.010665586088255376,0.0056371059011476685,0.006802901596178946,0.0278621989935637,200
test2,3,200.00000000000426,7104,5,17.968750000000384,0.27296195820239433,0.007595463184762115,0.01023764142355223,0.005790592673306433,0.005289142210398973,0.023971420779358755,200
test2,4,200.00000000000426,7104,5,2.734375000000058,0.2162307479897514,0.03953933677526798,0.03947087448371081,0.0011983721071947926,0.03749627838151307,0.04149696594555142,200
test2,4,200.00000000000426,7104,5,4.492187500000096,0.19837564586738132,0.022080071887847188,0.02200354764151089,0.0014827171816161968,0.019913288394140864,0.025175150458922907,200
